Unnamed: 0,gene_name,sampl_1
ENSG00000023318.7,ERP44,492230.3407
ENSG00000023330.13,ALAS1,848282.169
ENSG00000023445.12,BIRC3,37609.86722
ENSG00000023516.8,AKAP11,150189.5336
ENSG00000023572.7,GLRX2,136740.2746
ENSG00000023608.4,SNAPC1,47769.36767
ENSG00000023697.11,DERA,302226.0064
ENSG00000023734.9,STRAP,1009953.756
ENSG00000023839.9,ABCC2,3102.278637
ENSG00000023892.10,DEF6,355775.0838
ENSG00000023902.12,PLEKHO1,26688.33842
ENSG00000023909.8,GCLM,96310.29751
ENSG00000024048.9,UBR2,141473.9075
ENSG00000024422.10,EHD2,49076.84075
ENSG00000024526.15,DEPDC1,49324.07596
ENSG00000024862.15,CCDC28A,384337.3958
ENSG00000025039.13,RRAGD,7147.106835
ENSG00000025156.11,HSF2,74980.72749
ENSG00000025293.14,PHF20,100406.5456
ENSG00000025423.10,HSD17B6,11345.89229
ENSG00000025434.17,NR1H3,173267.0183
ENSG00000025708.11,TYMP,120869.8334
ENSG00000025770.17,NCAPH2,338518.1111
ENSG00000025772.7,TOMM34,887989.3965
ENSG00000025796.12,SEC63,282325.3595
ENSG00000025800.12,KPNA6,239513.6065
ENSG00000026025.12,VIM,199483.1812
ENSG00000026036.19,RTEL1-TNFRSF6B,18178.44774
ENSG00000026103.18,FAS,124394.1111
ENSG00000026297.14,RNASET2,542537.1739
ENSG00000026508.15,CD44,1044975.069
ENSG00000026559.12,KCNG1,9408.305204
ENSG00000026652.12,AGPAT4,28110.48648
ENSG00000026751.15,SLAMF7,8833.973244
ENSG00000026950.15,BTN3A1,241580.3713
ENSG00000027001.8,MIPEP,171656.9897
ENSG00000027075.12,PRKCH,32280.86031
ENSG00000027644.4,INSRR,394.8041328
ENSG00000027697.11,IFNGR1,824201.185
ENSG00000027847.12,B4GALT7,285387.0722
ENSG00000027869.10,SH2D2A,88989.82598
ENSG00000028116.15,VRK2,95386.00613
ENSG00000028137.15,TNFRSF1B,360854.2063
ENSG00000028203.16,VEZT,137203.4125
ENSG00000028277.19,POU2F2,5971.790551
ENSG00000028310.16,BRD9,115927.3538
ENSG00000028528.13,SNX1,245827.0862
ENSG00000028839.8,TBPL1,83849.04861
ENSG00000029153.13,ARNTL2,94076.01841
ENSG00000029363.14,BCLAF1,252576.3793
ENSG00000029364.10,SLC39A9,254502.7054
ENSG00000029534.18,ANK1,2088.678014
ENSG00000029559.6,IBSP,0
ENSG00000029639.9,TFB1M,153397.6249
ENSG00000029725.15,RABEP1,187605.9186
ENSG00000029993.13,HMGB3,358104.9042
ENSG00000030066.12,NUP160,131410.4635
ENSG00000030110.11,BAK1,449575.8528
ENSG00000030304.11,MUSK,192.6251441
ENSG00000030419.15,IKZF2,9115.18234
ENSG00000030582.15,GRN,4509639.238
ENSG00000031003.9,FAM13B,65493.02999
ENSG00000031081.9,ARHGAP31,30345.78833
ENSG00000031691.6,CENPQ,71816.94488
ENSG00000031698.11,SARS,903103.1532
ENSG00000031823.13,RANBP3,268068.6123
ENSG00000032219.17,ARID4A,61151.33108
ENSG00000032389.11,TSSC1,109290.9038
ENSG00000032444.14,PNPLA6,246805.7235
ENSG00000032742.16,IFT88,76851.66414
ENSG00000033011.10,ALG1,156596.5303
ENSG00000033030.12,ZCCHC8,88064.49194
ENSG00000033050.6,ABCF2,337943.3197
ENSG00000033100.13,CHPF2,493679.8751
ENSG00000033122.17,LRRC7,1374.485314
ENSG00000033170.15,FUT8,272326.8162
ENSG00000033178.11,UBA6,118205.4003
ENSG00000033327.11,GAB2,114807.829
ENSG00000033627.13,ATP6V0A1,137911.8841
ENSG00000033800.12,PIAS1,72699.09966
ENSG00000033867.15,SLC4A7,43855.01223
ENSG00000034053.13,APBA2,1993.666035
ENSG00000034152.17,MAP2K3,619447.3296
ENSG00000034239.9,EFCAB1,208.1546131
ENSG00000034510.5,TMSB10,60779052.88
ENSG00000034533.10,ASTE1,68403.11661
ENSG00000034677.10,RNF19A,170859.8721
ENSG00000034693.13,PEX3,119093.5728
ENSG00000034713.6,GABARAPL2,458270.8361
ENSG00000034971.13,MYOC,0
ENSG00000035115.20,SH3YL1,325794.782
ENSG00000035141.6,FAM136A,485919.272
ENSG00000035403.15,VCL,395845.8278
ENSG00000035499.11,DEPDC1B,36192.97906
ENSG00000035664.10,DAPK2,124514.7498
ENSG00000035681.6,NSMAF,154905.0166
ENSG00000035687.9,ADSS,496497.2989
ENSG00000035720.6,STAP1,243.3711035
ENSG00000035862.11,TIMP2,193631.4592
ENSG00000035928.13,RFC1,155039.6829
ENSG00000036054.11,TBC1D23,147846.7681
ENSG00000036257.11,CUL3,127958.0956
ENSG00000036448.8,MYOM2,4904.985721
ENSG00000036473.6,OTC,77252.28366
ENSG00000036530.7,CYP46A1,258.4126452
ENSG00000036549.11,ZZZ3,105255.5707
ENSG00000036565.13,SLC18A1,63043.69716
ENSG00000036672.14,USP2,3550.279209
ENSG00000036828.12,CASR,149.2327441
ENSG00000037042.8,TUBG2,98660.55581
ENSG00000037241.6,RPL26L1,298970.1103
ENSG00000037280.14,FLT4,4641.151828
ENSG00000037474.13,NSUN2,406217.3567
ENSG00000037637.9,FBXO42,71822.37761
ENSG00000037749.10,MFAP3,55810.80406
ENSG00000037757.12,MRI1,154771.6279
ENSG00000037897.15,METTL1,289367.8707
ENSG00000037965.5,HOXC8,852.8939678
ENSG00000038002.7,AGA,195893.7228
