gene_id,gene_name,CPT0019990006,CPT0017440009,CPT0077290006
ENSG00000007080.9,CCDC124,206089.7639,112392.5291,123708.4196
ENSG00000007129.16,CEACAM21,24581.8603,32460.2455,13321.6339
ENSG00000007168.11,PAFAH1B1,455834.637,478734.0249,496944.4491
ENSG00000007171.15,NOS2,16766.2006,23476.8237,13388.6899
ENSG00000007174.16,DNAH9,8313.8854,8363.2696,1907.958
ENSG00000007202.13,KIAA0100,493355.777,535563.6045,556257.1324
ENSG00000007216.13,SLC13A2,0,368.3677,161.9759
ENSG00000007237.17,GAS7,59741.2808,102245.5187,60427.7279
ENSG00000007255.9,TRAPPC6A,234892.4856,161121.9693,211701.9958
ENSG00000007264.12,MATK,27492.536,13057.2598,13501.852
ENSG00000007306.13,CEACAM7,0,0,197.2572
ENSG00000007312.11,CD79B,86479.6226,53704.4655,42707.1296
ENSG00000007314.10,SCN4A,20983.0022,21758.3938,4752.0398
ENSG00000007341.17,ST7L,62811.4287,64391.7692,64616.1872
ENSG00000007350.15,TKTL1,1091.6796,651.1529,4724.2826
ENSG00000007372.19,PAX6,4621.0225,4341.1665,5337.7539
ENSG00000007376.6,RPUSD1,72978.5844,60297.4919,67368.9931
ENSG00000007384.14,RHBDF1,64985.6919,67712.486,54550.2832
ENSG00000007392.15,LUC7L,174382.8947,268033.8896,166760.8627
ENSG00000007402.10,CACNA2D2,4592.0406,4793.2664,3140.8262
ENSG00000007516.12,BAIAP3,27692.9148,16048.388,28141.6939
ENSG00000007520.3,TSR3,518400.4096,337481.1003,419540.8067
ENSG00000007541.13,PIGQ,75991.647,127243.3341,98284.2196
ENSG00000007545.14,CRAMP1L,34332.0965,58190.0386,39004.4109
ENSG00000007866.17,TEAD3,53634.2282,72370.2203,49920.3804
ENSG00000007908.14,SELE,386606.6375,24104.0205,31340.6609
ENSG00000007923.14,DNAJC11,153758.9715,147755.2252,158312.573
ENSG00000007933.11,FMO3,159937.5307,37061.0009,20219.346
ENSG00000007944.13,MYLIP,469574.9629,437845.6115,435531.3843
ENSG00000007952.16,NOX1,1125.4111,704.8364,2066.1696
ENSG00000007968.6,E2F2,9701.0565,23083.2944,5458.0272
ENSG00000008018.8,PSMB1,1085226.487,738243.9329,843790.9678
ENSG00000008056.11,SYN1,4079.8872,4814.1489,2279.6759
ENSG00000008083.12,JARID2,150281.2865,152816.6117,111195.9922
ENSG00000008086.9,CDKL5,74165.5012,76541.7968,104326.4667
ENSG00000008118.8,CAMK1G,14677.5314,14210.5128,2733.737
ENSG00000008128.21,CDK11A,34994.3257,25405.1457,26788.08
ENSG00000008130.14,NADK,146344.9904,171959.3229,124395.0575
ENSG00000008196.11,TFAP2B,462.8663,0,424.8937
ENSG00000008197.4,TFAP2D,306.6988,0,0
ENSG00000008226.18,DLEC1,4232.7229,3776.8511,5138.8597
ENSG00000008256.14,CYTH3,113003.7192,96983.4465,77282.5338
ENSG00000008277.13,ADAM22,72046.5356,51726.8664,69691.2281
ENSG00000008282.6,SYPL1,388113.3809,674988.5482,566671.0461
ENSG00000008283.14,CYB561,142736.2344,160271.4451,181119.0288
ENSG00000008294.19,SPAG9,671964.2097,948408.5139,765740.087
ENSG00000008300.13,CELSR3,3159.4419,4411.4638,1694.9501
ENSG00000008311.13,AASS,137875.6371,248749.3615,103345.9239
ENSG00000008323.14,PLEKHG6,34741.9177,33474.7642,44893.7912
ENSG00000008324.9,SS18L2,101945.6413,68506.195,87155.9886
ENSG00000008382.14,MPND,79453.6975,65246.3834,87216.5581
ENSG00000008394.11,MGST1,207724.124,68122.7199,221374.7428
ENSG00000008405.10,CRY1,110203.1409,203184.6106,86504.0964
ENSG00000008438.4,PGLYRP1,11859.02,18980.6562,5080.1945
ENSG00000008441.15,NFIX,45072.5557,94095.3206,68073.7311
ENSG00000008513.13,ST3GAL1,214872.5626,277722.8118,186589.4588
ENSG00000008516.15,MMP25,15313.829,16272.9056,12664.4278
ENSG00000008517.15,IL32,492956.8065,611582.0645,562265.7862
ENSG00000008710.16,PKD1,71169.4779,105196.1445,89889.8835
ENSG00000008735.13,MAPK8IP2,578.7829,2617.9637,1239.7018
ENSG00000008838.16,MED24,111033.9497,132712.6308,106878.6025
ENSG00000008853.15,RHOBTB2,41265.064,66912.6451,70915.3681
ENSG00000008869.10,HEATR5B,332549.6958,711911.8816,357928.9851
ENSG00000008952.15,SEC62,379680.1066,359219.3077,532816.2476
ENSG00000008988.8,RPS20,4512337.347,2038252.969,3230069.568
ENSG00000009307.14,CSDE1,2682626.075,2103785.807,2911830.93
ENSG00000009335.16,UBE3C,276713.8959,342070.7006,279346.152
ENSG00000009413.14,REV3L,244231.8634,251825.8691,229410.4273
ENSG00000009694.12,TENM1,202074.1691,128317.55,196152.9547
ENSG00000009709.10,PAX7,0,0,0
ENSG00000009724.15,MASP2,19818.0376,15794.4033,29869.6384
ENSG00000009765.13,IYD,1098.6932,974.8128,5698.357
ENSG00000009780.14,FAM76A,85370.8329,82925.5547,109584.5341
ENSG00000009790.13,TRAF3IP3,46934.1756,76668.0084,37824.7403
ENSG00000009830.10,POMT2,36614.6649,42017.3154,58923.4134
ENSG00000009844.14,VTA1,114285.5486,90329.3142,109514.8983
ENSG00000009950.14,MLXIPL,66203.6255,65649.4701,96801.7836
ENSG00000009954.9,BAZ1B,471899.2073,611952.6724,449706.9542
ENSG00000010017.12,RANBP9,319566.3965,353452.8043,312864.87
ENSG00000010030.12,ETV7,75050.5122,233766.3768,54146.3503
ENSG00000010072.14,SPRTN,50311.4806,54528.2711,49988.4651
ENSG00000010165.18,METTL13,130743.6035,207581.5876,176681.3099
ENSG00000010219.12,DYRK4,61974.8954,50792.2838,55557.2326
ENSG00000010244.15,ZNF207,310212.9089,396042.9924,403797.4983
ENSG00000010256.9,UQCRC1,506258.4842,365025.9594,411439.238
ENSG00000010270.12,STARD3NL,293388.0083,286566.0775,310780.5146
ENSG00000010278.10,CD9,685184.6252,646228.3445,746341.7947
ENSG00000010282.13,HHATL,8072.8299,0,180.7452
ENSG00000010292.11,NCAPD2,128641.2082,192166.4069,133875.7503
ENSG00000010295.18,IFFO1,90915.3543,114998.3287,93700.6523
ENSG00000010310.7,GIPR,5649.0602,12922.3475,2096.3158
ENSG00000010318.18,PHF7,26135.7321,25565.2274,21275.5804
ENSG00000010319.5,SEMA3G,119958.093,122843.2327,27633.5237
ENSG00000010322.14,NISCH,167147.3266,199312.9702,183779.6623
ENSG00000010327.9,STAB1,967878.8207,775269.7535,749748.8623
ENSG00000010361.12,FUZ,129862.2987,88018.772,89450.7855
ENSG00000010379.14,SLC6A13,1863188.152,407367.6836,1749252.198
ENSG00000010404.16,IDS,178697.0017,204560.098,277631.489
ENSG00000010438.15,PRSS3,1026.2613,1785.3878,3140.2301
ENSG00000010539.10,ZNF200,38642.2481,47229.8654,43486.4494
ENSG00000010610.8,CD4,372615.945,383887.9094,254141.1598
ENSG00000010626.13,LRRC23,95058.5491,71207.8604,148342.2497
ENSG00000010671.14,BTK,105510.2839,84418.5994,69328.5934
ENSG00000010704.17,HFE,138321.1013,79153.8081,102757.4042
ENSG00000010803.15,SCMH1,407692.146,362492.1018,445805.0599
ENSG00000010810.16,FYN,327283.9882,378586.4391,185788.4034
ENSG00000010818.7,HIVEP2,261495.3943,337514.9441,218604.7388
ENSG00000010932.14,FMO1,425739.4754,174360.1214,256770.0432
ENSG00000011007.11,TCEB3,233669.5488,217897.9887,223320.1646
